地名　,センター,紙類,布類,不燃ごみ,その他プラスティック製容器包装,可燃ごみ,びん・かん,ペットボトル,有害ごみ
安比奈新田,,,,,,火 金,,,
青柳,,,,,,,,,
旭町,,,,,,火 金,,,
天沼新田,,,,,,月 木,,,
新宿,,,,,,火 金,,,
新宿町,,,,,,火 金,,,
池辺,,,,,,火 金,,,
伊佐沼,,,,,,月 木,,,
石田,,,,,,月 木,,,
石田本郷,,,,,,月 木,,,
石原町,,,,,,月 木,,,
泉町,,,,,,火 金,,,
伊勢原町,,,,,,月 木,,,
稲荷町,,,,,,月 木,,,
今泉,,,,,,火 金,,,
今成,,,,,,月 木,,,
今福,,,,,,月 木,,,
牛子,,,,,,,,,
上戸,,,,,,,,,
上戸新町,,,,,,,,,
扇河岸,,,,,,,,,
大仙波,,,,,,,,,
大仙波新田ん,,,,,,,,,
大塚,,,,,,,,,
大塚新田,,,,,,,,,
大塚新町,,,,,,,,,
大手町,,,,,,,,,
大中居,,,,,,,,,
大袋,,,,,,,,,
大袋新田ん,,,,,,,,,
小ケ谷,,,,,,,,,
御成町,,,,,,,,,
萱沼,,,,,,,,,
笠幡,,,,,,,,,
かし野台,,,,,,,,,
霞ケ関東し,,,,,,,,,
霞ケ関北,,,,,,,,,
かすみ野,,,,,,,,,
上老袋,,,,,,,,,
上新河岸,,,,,,,,,
上寺山,,,,,,,,,
上野田町,,,,,,,,,
上松原,,,,,,,,,
鴨田,,,,,,,,,
川越,,,,,,,,,
川鶴,,,,,,,,,
かわつる三芳野,,,,,,,,,
岸,,,,,,,,,
岸町,,,,,,,,,
北田島,,,,,,,,,
喜多町,,,,,,,,,
木野目,,,,,,,,,
久下戸,,,,,,,,,
鯨井,,,,,,,,,
鯨井新田,,,,,,,,,
久保町,,,,,,,,,
熊野町,,,,,,,,,
郭町,,,,,,,,,
広栄町,,,,,,,,,
小仙波,,,,,,,,,
小仙波町,,,,,,,,,
小堤,,,,,,,,,
寿町,,,,,,,,,
小中居,,,,,,,,,
小室,,,,,,,,,
幸町,,,,,,,,,
栄,,,,,,,,,
三久保町,,,,,,,,,
三光町,,,,,,,,,
鹿飼,,,,,,,,,
志多町,,,,,,,,,
渋井,,,,,,,,,
清水町,,,,,,,,,
下赤坂,,,,,,,,,
下老袋,,,,,,,,,
下小坂,,,,,,,,,
下新河岸,,,,,,,,,
下広谷,,,,,,,,,
下松原,,,,,,,,,
城下町,,,,,,,,,
新富町,,,,,,,,,
神明町,,,,,,,,,
末広町,,,,,,,,,
菅間,,,,,,,,,
菅原町,,,,,,,,,
砂,,,,,,,,,
砂久保,,,,,,,,,
砂新田,,,,,,,,,
諏訪町,,,,,,,,,
仙波町,,,,,,,,,
高島,,,,,,,,,
竹野,,,,,,,,,
田町,,,,,,,,,
月吉町,,,,,,,,,
寺井,,,,,,,,,
寺尾,,,,,,,,,
寺山,,,,,,,,,
東明寺,,,,,,,,,
通町,,,,,,,,,
豊田新田,,,,,,,,,
豊田町,,,,,,,,,
豊田本,,,,,,,,,
問屋町,,,,,,,,,
中老袋,,,,,,,,,
中台,,,,,,,,,
中台元町,,,,,,,,,
仲町,,,,,,,,,
中原町,,,,,,,,,
中福,,,,,,,,,
中福東,,,,,,,,,
並木,,,,,,,,,
並木新町,,,,,,,,,
並木西町,,,,,,,,,
西小仙波町,,,,,,,,,
日東町,,,,,,,,,
野田,,,,,,,,,
野田町,,,,,,,,,
氷川町,,,,,,,,,
東田町,,,,,,,,,
東本宿,,,,,,,,,
平塚,,,,,,,,,
平塚新田,,,,,,,,,
広谷新町,,,,,,,,,
府川,,,,,,,,,
福田,,,,,,,,,
藤木町,,,,,,,,,
藤倉,,,,,,,,,
藤間,,,,,,,,,
富士見,,,,,,,,,
富士見町,,,,,,,,,
藤原町,,,,,,,,,
古市場,,,,,,,,,
古谷上,,,,,,,,,
古谷本郷,,,,,,,,,
増形,,,,,,,,,
松江町,,,,,,,,,
松郷,,,,,,,,,
的場,,,,,,,,,
的場新町,,,,,,,,,
的場北,,,,,,,,,
南大塚,,,,,,,,,
南田島,,,,,,,,,
南台,,,,,,,,,
南通町,,,,,,,,,
宮下町,,,,,,,,,
宮元町,,,,,,,,,
むさし野,,,,,,,,,
むさし野南,,,,,,,,,
元町,,,,,,,,,
八ツ島,,,,,,,,,
谷中,,,,,,,,,
山城,,,,,,,,,
山田,,,,,,,,,
吉田,,,,,,,,,
吉田新町,,,,,,,,,
芳野台,,,,,,,,,
四都野台,,,,,,,,,
連雀町,,,,,,,,,
六軒町,,,,,,,,,
脇田新町,,,,,,,,,
脇田本町,,,,,,,,,
脇田町,,,,,,,,,
